Plot Title: miniDOT-Benthic-St33							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Temperature)"	"Intensity, Lux (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Light Intensity)"	Coupler Attached (LGR S/N: 10517221)	Host Connected (LGR S/N: 10517221)	Stopped (LGR S/N: 10517221)	End Of File (LGR S/N: 10517221)
222	6/17/2018 21:30	11.236	473.6				
223	6/17/2018 22:00	11.236	247.6				
224	6/17/2018 22:30	11.236	118.4				
225	6/17/2018 23:00	11.236	53.8				
226	6/17/2018 23:30	11.236	32.3				
227	6/18/2018 0:00	11.334	21.5				
228	6/18/2018 0:30	11.236	10.8				
229	6/18/2018 1:00	11.334	10.8				
230	6/18/2018 1:30	11.236	0				
231	6/18/2018 2:00	11.236	0				
232	6/18/2018 2:30	11.334	10.8				
233	6/18/2018 3:00	11.334	0				
234	6/18/2018 3:30	11.334	10.8				
235	6/18/2018 4:00	11.334	86.1				
236	6/18/2018 4:30	11.431	75.3				
237	6/18/2018 5:00	11.236	75.3				
238	6/18/2018 5:30	11.236	64.6				
239	6/18/2018 6:00	11.236	172.2				
240	6/18/2018 6:30	11.236	215.3				
241	6/18/2018 7:00	11.139	387.5				
242	6/18/2018 7:30	11.139	269.1				
243	6/18/2018 8:00	11.139	376.7				
244	6/18/2018 8:30	11.236	721.2				
245	6/18/2018 9:00	11.236	818.1				
246	6/18/2018 9:30	11.236	807.3				
247	6/18/2018 10:00	11.236	1550				
248	6/18/2018 10:30	11.334	1636.1				
249	6/18/2018 11:00	11.236	1463.9				
250	6/18/2018 11:30	11.236	1022.6				
251	6/18/2018 12:00	11.236	1141				
252	6/18/2018 12:30	11.334	1173.3				
253	6/18/2018 13:00	11.334	1065.6				
254	6/18/2018 13:30	11.334	850.4				
255	6/18/2018 14:00	11.334	753.5				
256	6/18/2018 14:30	11.334	505.9				
257	6/18/2018 15:00	11.334	538.2				
258	6/18/2018 15:30	11.334	1636.1				
259	6/18/2018 16:00	11.334	828.8				
260	6/18/2018 16:30	11.334	1636.1				
261	6/18/2018 17:00	11.236	1011.8				
262	6/18/2018 17:30	11.236	279.9				
263	6/18/2018 18:00	11.236	785.8				
264	6/18/2018 18:30	11.139	473.6				
265	6/18/2018 19:00	11.139	419.8				
266	6/18/2018 19:30	11.139	538.2				
267	6/18/2018 20:00	11.041	279.9				
268	6/18/2018 20:30	11.041	215.3				
269	6/18/2018 21:00	11.041	139.9				
270	6/18/2018 21:30	10.944	86.1				
271	6/18/2018 22:00	10.944	86.1				
272	6/18/2018 22:30	10.846	32.3				
273	6/18/2018 23:00	10.748	10.8				
274	6/18/2018 23:30	10.651	0				
275	6/19/2018 0:00	10.651	0				
276	6/19/2018 0:30	10.748	0				
277	6/19/2018 1:00	10.748	0				
278	6/19/2018 1:30	10.651	0				
279	6/19/2018 2:00	10.651	0				
280	6/19/2018 2:30	10.651	0				
281	6/19/2018 3:00	10.553	0				
282	6/19/2018 3:30	10.553	32.3				
283	6/19/2018 4:00	10.357	32.3				
284	6/19/2018 4:30	10.161	53.8				
285	6/19/2018 5:00	9.965	193.8				
286	6/19/2018 5:30	9.768	129.2				
287	6/19/2018 6:00	9.768	215.3				
288	6/19/2018 6:30	9.866	462.9				
289	6/19/2018 7:00	9.768	312.2				
290	6/19/2018 7:30	9.669	290.6				
291	6/19/2018 8:00	9.571	495.1				
292	6/19/2018 8:30	9.472	581.3				
293	6/19/2018 9:00	9.373	1141				
294	6/19/2018 9:30	9.373	818.1				
295	6/19/2018 10:00	9.275	1141				
296	6/19/2018 10:30	9.275	1636.1				
297	6/19/2018 11:00	9.373	3444.5				
298	6/19/2018 11:30	9.275	1808.3				
299	6/19/2018 12:00	9.275	1980.6				
300	6/19/2018 12:30	9.472	1894.5				
301	6/19/2018 13:00	9.768	2066.7				
302	6/19/2018 13:30	9.669	1894.5				
303	6/19/2018 14:00	9.768	6200				
304	6/19/2018 14:30	9.669	3616.7				
305	6/19/2018 15:00	9.669	3100				
306	6/19/2018 15:30	9.669	2669.5				
307	6/19/2018 16:00	9.669	1980.6				
308	6/19/2018 16:30	9.669	1270.1				
309	6/19/2018 17:00	9.669	1237.9				
310	6/19/2018 17:30	9.669	1550				
311	6/19/2018 18:00	9.669	1173.3				
312	6/19/2018 18:30	9.669	1194.8				
313	6/19/2018 19:00	9.571	904.2				
314	6/19/2018 19:30	9.571	818.1				
315	6/19/2018 20:00	9.571	861.1				
316	6/19/2018 20:30	9.571	570.5				
317	6/19/2018 21:00	9.571	419.8				
318	6/19/2018 21:30	9.571	333.7				
319	6/19/2018 22:00	9.571	226				
320	6/19/2018 22:30	9.472	172.2				
321	6/19/2018 23:00	9.472	96.9				
322	6/19/2018 23:30	9.472	43.1				
323	6/20/2018 0:00	9.472	21.5				
324	6/20/2018 0:30	9.472	10.8				
325	6/20/2018 1:00	9.373	10.8				
326	6/20/2018 1:30	9.373	10.8				
327	6/20/2018 2:00	9.373	10.8				
328	6/20/2018 2:30	9.373	21.5				
329	6/20/2018 3:00	9.373	43.1				
330	6/20/2018 3:30	9.373	75.3				
331	6/20/2018 4:00	9.373	96.9				
332	6/20/2018 4:30	9.373	139.9				
333	6/20/2018 5:00	9.373	247.6				
334	6/20/2018 5:30	9.373	473.6				
335	6/20/2018 6:00	9.373	678.1				
336	6/20/2018 6:30	9.373	861.1				
337	6/20/2018 7:00	9.373	570.5				
338	6/20/2018 7:30	9.373	742.7				
339	6/20/2018 8:00	9.373	1184				
340	6/20/2018 8:30	9.472	1463.9				
341	6/20/2018 9:00	9.571	1980.6				
342	6/20/2018 9:30	9.669	2411.1				
343	6/20/2018 10:00	9.768	2755.6				
344	6/20/2018 10:30	9.768	2755.6				
345	6/20/2018 11:00	9.965	3272.2				
346	6/20/2018 11:30	10.063	3616.7				
347	6/20/2018 12:00	10.063	2927.8				
348	6/20/2018 12:30	10.259	3616.7				
349	6/20/2018 13:00	10.357	4133.4				
350	6/20/2018 13:30	10.455	3616.7				
351	6/20/2018 14:00	10.553	3788.9				
352	6/20/2018 14:30	10.553	3444.5				
353	6/20/2018 15:00	10.553	3616.7				
354	6/20/2018 15:30	10.553	3444.5				
355	6/20/2018 16:00	10.651	2927.8				
356	6/20/2018 16:30	10.651	2927.8				
357	6/20/2018 17:00	10.651	2497.2				
358	6/20/2018 17:30	10.553	2152.8				
359	6/20/2018 18:00	10.553	1808.3				
360	6/20/2018 18:30	10.553	1463.9				
361	6/20/2018 19:00	10.553	1302.4				
362	6/20/2018 19:30	10.553	1033.3				
363	6/20/2018 20:00	10.553	839.6				
364	6/20/2018 20:30	10.553	570.5				
365	6/20/2018 21:00	10.553	430.6				
366	6/20/2018 21:30	10.455	312.2				
367	6/20/2018 22:00	10.455	193.8				
368	6/20/2018 22:30	10.455	129.2				
369	6/20/2018 23:00	10.455	75.3				
370	6/20/2018 23:30	10.455	43.1				
371	6/21/2018 0:00	10.455	21.5				
372	6/21/2018 0:30	10.357	10.8				
373	6/21/2018 1:00	10.357	10.8				
374	6/21/2018 1:30	10.357	0				
375	6/21/2018 2:00	10.357	10.8				
376	6/21/2018 2:30	10.357	21.5				
377	6/21/2018 3:00	10.455	43.1				
378	6/21/2018 3:30	10.455	75.3				
379	6/21/2018 4:00	10.455	150.7				
380	6/21/2018 4:30	10.455	204.5				
381	6/21/2018 5:00	10.455	322.9				
382	6/21/2018 5:30	10.455	452.1				
383	6/21/2018 6:00	10.455	635.1				
384	6/21/2018 6:30	10.553	1162.5				
385	6/21/2018 7:00	10.553	1722.2				
386	6/21/2018 7:30	10.553	1550				
387	6/21/2018 8:00	10.651	2325				
388	6/21/2018 8:30	10.651	2583.4				
389	6/21/2018 9:00	10.748	2927.8				
390	6/21/2018 9:30	10.748	3272.2				
391	6/21/2018 10:00	10.944	4822.3				
392	6/21/2018 10:30	10.944	4305.6				
393	6/21/2018 11:00	10.846	3272.2				
394	6/21/2018 11:30	10.748	2927.8				
395	6/21/2018 12:00	10.651	2238.9				
396	6/21/2018 12:30	10.748	2497.2				
397	6/21/2018 13:00	10.651	1980.6				
398	6/21/2018 13:30	10.553	1065.6				
399	6/21/2018 14:00	10.553	947.2				
400	6/21/2018 14:30	10.553	322.9				
401	6/21/2018 15:00	10.651	355.2				
402	6/21/2018 15:30	10.651	473.6				
403	6/21/2018 16:00	10.651	613.5				
404	6/21/2018 16:30	10.748	635.1				
405	6/21/2018 17:00	10.651	581.3				
406	6/21/2018 17:30	10.748	678.1				
407	6/21/2018 18:00	10.748	333.7				
408	6/21/2018 18:30	10.846	473.6				
409	6/21/2018 19:00	10.846	366				
410	6/21/2018 19:30	10.846	376.7				
411	6/21/2018 20:00	10.846	236.8				
412	6/21/2018 20:30	10.846	193.8				
413	6/21/2018 21:00	10.846	96.9				
414	6/21/2018 21:30	10.846	53.8				
415	6/21/2018 22:00	10.846	32.3				
416	6/21/2018 22:30	10.846	21.5				
417	6/21/2018 23:00	10.748	0				
418	6/21/2018 23:30	10.748	0				
419	6/22/2018 0:00	10.748	0				
420	6/22/2018 0:30	10.651	0				
421	6/22/2018 1:00	10.651	0				
422	6/22/2018 1:30	10.553	0				
