"Plot Title: MD_e5_5Jun2021"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)","Coupler Attached (LGR S/N: 10517223)","Host Connected (LGR S/N: 10517223)","Coupler Detached (LGR S/N: 10517223)","Bad Battery (LGR S/N: 10517223)","Stopped (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
254,06/16/21 02:30:00,7.381,75.3,,,,,,
255,06/16/21 03:30:00,7.381,279.9,,,,,,
256,06/16/21 04:30:00,7.280,936.5,,,,,,
257,06/16/21 05:30:00,7.280,1808.3,,,,,,
258,06/16/21 06:30:00,7.079,1065.6,,,,,,
259,06/16/21 07:30:00,7.079,3961.1,,,,,,
260,06/16/21 08:30:00,7.079,4994.5,,,,,,
261,06/16/21 09:30:00,7.179,5511.1,,,,,,
262,06/16/21 10:30:00,7.280,8266.7,,,,,,
263,06/16/21 11:30:00,7.280,11022.3,,,,,,
264,06/16/21 12:30:00,7.179,9644.5,,,,Logged,,
265,06/16/21 13:30:00,7.280,6200.0,,,,,,
266,06/16/21 14:30:00,7.280,7233.4,,,,,,
267,06/16/21 15:30:00,7.280,7233.4,,,,,,
268,06/16/21 16:30:00,7.280,5511.1,,,,,,
269,06/16/21 17:30:00,7.280,5166.7,,,,,,
270,06/16/21 18:30:00,7.179,3788.9,,,,,,
271,06/16/21 19:30:00,7.079,2927.8,,,,,,
272,06/16/21 20:30:00,7.079,1980.6,,,,,,
273,06/16/21 21:30:00,7.079,1550.0,,,,,,
274,06/16/21 22:30:00,6.978,645.8,,,,,,
275,06/16/21 23:30:00,6.877,139.9,,,,,,
276,06/17/21 00:30:00,6.978,32.3,,,,,,
277,06/17/21 01:30:00,6.978,32.3,,,,,,
278,06/17/21 02:30:00,6.877,107.6,,,,,,
279,06/17/21 03:30:00,6.877,258.3,,,,,,
280,06/17/21 04:30:00,6.877,656.6,,,,,,
281,06/17/21 05:30:00,6.877,1894.5,,,,,,
282,06/17/21 06:30:00,6.877,2497.2,,,,,,
283,06/17/21 07:30:00,6.877,3788.9,,,,,,
284,06/17/21 08:30:00,6.877,3616.7,,,,,,
285,06/17/21 09:30:00,6.978,6544.5,,,,,,
286,06/17/21 10:30:00,6.877,5166.7,,,,,,
287,06/17/21 11:30:00,7.079,6200.0,,,,,,
288,06/17/21 12:30:00,7.079,5166.7,,,,,,
289,06/17/21 13:30:00,7.381,12400.1,,,,,,
290,06/17/21 14:30:00,7.381,10333.4,,,,,,
291,06/17/21 15:30:00,7.381,8266.7,,,,,,
292,06/17/21 16:30:00,7.481,8266.7,,,,,,
293,06/17/21 17:30:00,7.582,6200.0,,,,,,
294,06/17/21 18:30:00,7.582,4650.0,,,,,,
295,06/17/21 19:30:00,7.682,4650.0,,,,,,
296,06/17/21 20:30:00,7.682,2755.6,,,,,,
297,06/17/21 21:30:00,7.582,1377.8,,,,,,
298,06/17/21 22:30:00,7.481,893.4,,,,,,
299,06/17/21 23:30:00,7.481,301.4,,,,,,
300,06/18/21 00:30:00,7.381,107.6,,,,,,
301,06/18/21 01:30:00,7.280,32.3,,,,,,
302,06/18/21 02:30:00,7.381,172.2,,,,,,
303,06/18/21 03:30:00,7.381,549.0,,,,,,
304,06/18/21 04:30:00,7.381,1636.1,,,,,,
305,06/18/21 05:30:00,7.280,1636.1,,,,,,
306,06/18/21 06:30:00,7.280,2927.8,,,,,,
307,06/18/21 07:30:00,7.280,3616.7,,,,,,
308,06/18/21 08:30:00,7.381,4133.4,,,,,,
309,06/18/21 09:30:00,7.481,4822.3,,,,,,
310,06/18/21 10:30:00,7.481,5166.7,,,,,,
311,06/18/21 11:30:00,7.682,5511.1,,,,,,
312,06/18/21 12:30:00,7.782,5511.1,,,,,,
313,06/18/21 13:30:00,7.782,5166.7,,,,,,
314,06/18/21 14:30:00,7.983,9644.5,,,,,,
315,06/18/21 15:30:00,7.983,6200.0,,,,,,
316,06/18/21 16:30:00,8.182,8266.7,,,,,,
