"Plot Title: sonde_May21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10724105, SEN S/N: 10724105)","Intensity, Lux (LGR S/N: 10724105, SEN S/N: 10724105)","Coupler Detached (LGR S/N: 10724105)","Coupler Attached (LGR S/N: 10724105)","Host Connected (LGR S/N: 10724105)","Stopped (LGR S/N: 10724105)","End Of File (LGR S/N: 10724105)"
162,05/20/21 11:56:06 PM,0.343,215.3,,,,,
163,05/21/21 12:26:06 AM,-0.549,53.8,,,,,
164,05/21/21 12:56:06 AM,-0.774,43.1,,,,,
165,05/21/21 01:26:06 AM,-1.114,53.8,,,,,
166,05/21/21 01:56:06 AM,-1.570,86.1,,,,,
167,05/21/21 02:26:06 AM,-1.228,215.3,,,,,
168,05/21/21 02:56:06 AM,-0.887,516.7,,,,,
169,05/21/21 03:26:06 AM,-0.549,699.7,,,,,
170,05/21/21 03:56:06 AM,-0.437,1054.9,,,,,
171,05/21/21 04:26:06 AM,-0.549,1980.6,,,,,
172,05/21/21 04:56:06 AM,-0.549,2583.4,,,,,
173,05/21/21 05:26:06 AM,-0.325,5338.9,,,,,
174,05/21/21 05:56:06 AM,-0.102,9300.1,,,,,
175,05/21/21 06:26:06 AM,0.784,21355.7,,,,,
176,05/21/21 06:56:06 AM,0.343,15844.5,,,,,
177,05/21/21 07:26:06 AM,0.784,23422.4,,,,,
178,05/21/21 07:56:06 AM,1.003,22044.6,,,,,
179,05/21/21 08:26:06 AM,1.764,33066.9,,,,,
180,05/21/21 08:56:06 AM,2.943,31689.1,,,,,
181,05/21/21 09:26:06 AM,4.519,34444.7,,,,,
182,05/21/21 09:56:06 AM,7.582,49600.3,,,,,
183,05/21/21 10:26:06 AM,6.877,46844.8,,,,,
184,05/21/21 10:56:06 AM,7.481,52355.9,,,,,
185,05/21/21 11:26:06 AM,7.381,41333.6,,,,,
186,05/21/21 11:56:06 AM,7.582,55111.5,,,,,
187,05/21/21 12:26:06 PM,5.962,42711.4,,,,,
188,05/21/21 12:56:06 PM,5.655,57867.0,,,,,
189,05/21/21 01:26:06 PM,5.655,57867.0,,,,,
190,05/21/21 01:56:06 PM,5.655,55111.5,,,,,
191,05/21/21 02:26:06 PM,5.244,49600.3,,,,,
192,05/21/21 02:56:06 PM,4.831,49600.3,,,,,
193,05/21/21 03:26:06 PM,4.415,44089.2,,,,,
194,05/21/21 03:56:06 PM,4.311,44089.2,,,,,
195,05/21/21 04:26:06 PM,3.472,26178.0,,,,,
196,05/21/21 04:56:06 PM,3.367,28933.5,,,,,
197,05/21/21 05:26:06 PM,2.730,21355.7,,,,,
198,05/21/21 05:56:06 PM,2.088,13777.9,,,,,
199,05/21/21 06:26:06 PM,2.303,11711.2,,,,,
200,05/21/21 06:56:06 PM,1.764,8611.2,,,,,
201,05/21/21 07:26:06 PM,2.195,6544.5,,,,,
202,05/21/21 07:56:06 PM,1.764,4994.5,,,,,
203,05/21/21 08:26:06 PM,1.980,3961.1,,,,,
204,05/21/21 08:56:06 PM,1.980,3100.0,,,,,
205,05/21/21 09:26:06 PM,0.893,1722.2,,,,,
206,05/21/21 09:56:06 PM,1.330,1011.8,,,,,
207,05/21/21 10:26:06 PM,1.330,538.2,,,,,
208,05/21/21 10:56:06 PM,0.784,183.0,,,,,
209,05/21/21 11:26:06 PM,1.003,86.1,,,,,
210,05/21/21 11:56:06 PM,0.343,32.3,,,,,
211,05/22/21 12:26:06 AM,0.121,21.5,,,,,
212,05/22/21 12:56:06 AM,0.232,10.8,,,,,
213,05/22/21 01:26:06 AM,-0.102,32.3,,,,,
214,05/22/21 01:56:06 AM,-0.213,43.1,,,,,
215,05/22/21 02:26:06 AM,-0.549,86.1,,,,,
216,05/22/21 02:56:06 AM,-0.102,215.3,,,,,
217,05/22/21 03:26:06 AM,0.010,592.0,,,,,
218,05/22/21 03:56:06 AM,0.453,1313.2,,,,,
219,05/22/21 04:26:06 AM,0.784,1722.2,,,,,
220,05/22/21 04:56:06 AM,0.674,3272.2,,,,,
221,05/22/21 05:26:06 AM,0.893,10677.8,,,,,
222,05/22/21 05:56:06 AM,0.784,7577.8,,,,,
223,05/22/21 06:26:06 AM,1.764,20666.8,,,,,
224,05/22/21 06:56:06 AM,2.195,22044.6,,,,,
225,05/22/21 07:26:06 AM,1.656,12400.1,,,,,
226,05/22/21 07:56:06 AM,2.195,21355.7,,,,,
227,05/22/21 08:26:06 AM,2.303,17222.3,,,,,
228,05/22/21 08:56:06 AM,2.088,17911.2,,,,,
229,05/22/21 09:26:06 AM,1.872,15155.7,,,,,
230,05/22/21 09:56:06 AM,2.517,18600.1,,,,,
231,05/22/21 10:26:06 AM,2.410,16533.4,,,,,
232,05/22/21 10:56:06 AM,3.155,23422.4,,,,,
233,05/22/21 11:26:06 AM,4.102,35822.5,,,,,
234,05/22/21 11:56:06 AM,3.788,27555.7,,,,,
235,05/22/21 12:26:06 PM,4.727,34444.7,,,,,
236,05/22/21 12:56:06 PM,4.727,23422.4,,,,,
237,05/22/21 01:26:06 PM,6.166,55111.5,,,,,
238,05/22/21 01:56:06 PM,5.244,38578.0,,,,,
239,05/22/21 02:26:06 PM,4.623,23422.4,,,,,
240,05/22/21 02:56:06 PM,6.775,38578.0,,,,,
241,05/22/21 03:26:06 PM,7.280,264535.1,,,,,
242,05/22/21 03:56:06 PM,5.347,37200.2,,,,,
243,05/22/21 04:26:06 PM,5.347,42711.4,,,,,
244,05/22/21 04:56:06 PM,5.552,30311.3,,,,,
245,05/22/21 05:26:06 PM,5.244,22044.6,,,,,
246,05/22/21 05:56:06 PM,5.141,27555.7,,,,,
247,05/22/21 06:26:06 PM,5.141,26178.0,,,,,
248,05/22/21 06:56:06 PM,5.037,22044.6,,,,,
249,05/22/21 07:26:06 PM,4.727,22044.6,,,,,
250,05/22/21 07:56:06 PM,5.244,21355.7,,,,,
251,05/22/21 08:26:06 PM,5.347,26178.0,,,,,
