"Plot Title: MD_Reyk_B_16Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)","Bad Battery (LGR S/N: 10517223)","Coupler Attached (LGR S/N: 10517223)","Host Connected (LGR S/N: 10517223)","Stopped (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
239,06/21/19 10:00:00,10.748,527.4,,,,,
240,06/21/19 10:30:00,10.748,344.4,,,,,
241,06/21/19 11:00:00,10.748,462.9,,,,,
242,06/21/19 11:30:00,10.748,409.0,,,,,
243,06/21/19 12:00:00,10.748,398.3,,,,,
244,06/21/19 12:30:00,10.748,592.0,,,,,
245,06/21/19 13:00:00,10.748,710.4,,,,,
246,06/21/19 13:30:00,10.748,721.2,,,,,
247,06/21/19 14:00:00,10.846,678.1,,,,,
248,06/21/19 14:30:00,10.846,667.4,,,,,
249,06/21/19 15:00:00,10.944,538.2,,,,,
250,06/21/19 15:30:00,11.041,549.0,,,,,
251,06/21/19 16:00:00,11.041,645.8,,,,,
252,06/21/19 16:30:00,11.041,473.6,,,,,
253,06/21/19 17:00:00,11.139,753.5,,,,,
254,06/21/19 17:30:00,11.139,366.0,,,,,
255,06/21/19 18:00:00,11.139,226.0,,,,,
256,06/21/19 18:30:00,11.139,301.4,,,,,
257,06/21/19 19:00:00,11.139,236.8,,,,,
258,06/21/19 19:30:00,11.139,344.4,,,,,
259,06/21/19 20:00:00,11.139,139.9,,,,,
260,06/21/19 20:30:00,11.139,43.1,,,,,
261,06/21/19 21:00:00,11.139,43.1,,,,,
262,06/21/19 21:30:00,11.139,43.1,,,,,
263,06/21/19 22:00:00,11.139,10.8,,,,,
264,06/21/19 22:30:00,11.041,0.0,,,,,
265,06/21/19 23:00:00,11.041,0.0,,,,,
266,06/21/19 23:30:00,11.041,0.0,,,,,
267,06/22/19 00:00:00,10.944,0.0,,,,,
268,06/22/19 00:30:00,10.944,0.0,,,,,
269,06/22/19 01:00:00,11.041,0.0,,,,,
270,06/22/19 01:30:00,11.041,0.0,,,,,
271,06/22/19 02:00:00,11.041,0.0,,,,,
272,06/22/19 02:30:00,10.944,0.0,,,,,
273,06/22/19 03:00:00,10.944,0.0,,,,,
274,06/22/19 03:30:00,10.944,0.0,,,,,
275,06/22/19 04:00:00,10.944,0.0,,,,,
276,06/22/19 04:30:00,10.944,0.0,,,,,
277,06/22/19 05:00:00,10.944,0.0,,,,,
278,06/22/19 05:30:00,10.944,32.3,,,,,
279,06/22/19 06:00:00,10.944,21.5,,,,,
280,06/22/19 06:30:00,10.944,53.8,,,,,
281,06/22/19 07:00:00,10.944,43.1,,,,,
282,06/22/19 07:30:00,10.944,107.6,,,,,
283,06/22/19 08:00:00,10.944,139.9,,,,,
284,06/22/19 08:30:00,10.846,226.0,,,,,
285,06/22/19 09:00:00,10.846,193.8,,,,,
286,06/22/19 09:30:00,10.748,269.1,,,,,
287,06/22/19 10:00:00,10.748,236.8,,,,,
288,06/22/19 10:30:00,10.748,204.5,,,,,
289,06/22/19 11:00:00,10.748,333.7,,,,,
290,06/22/19 11:30:00,10.748,398.3,,,,,
291,06/22/19 12:00:00,10.748,710.4,,,,,
292,06/22/19 12:30:00,10.846,430.6,,,,,
293,06/22/19 13:00:00,10.846,355.2,,,,,
294,06/22/19 13:30:00,11.041,871.9,,,,,
295,06/22/19 14:00:00,11.041,721.2,,,,,
296,06/22/19 14:30:00,11.041,667.4,,,,,
297,06/22/19 15:00:00,11.041,667.4,,,,,
298,06/22/19 15:30:00,11.041,172.2,,,,,
299,06/22/19 16:00:00,11.041,183.0,,,,,
300,06/22/19 16:30:00,11.041,538.2,,,,,
301,06/22/19 17:00:00,11.139,344.4,,,,,
302,06/22/19 17:30:00,11.041,301.4,,,,,
303,06/22/19 18:00:00,11.041,430.6,,,,,
304,06/22/19 18:30:00,11.139,366.0,,,,,
305,06/22/19 19:00:00,11.041,279.9,,,,,
306,06/22/19 19:30:00,11.041,215.3,,,,,
307,06/22/19 20:00:00,11.041,139.9,,,,,
308,06/22/19 20:30:00,11.139,129.2,,,,,
309,06/22/19 21:00:00,11.528,75.3,,,,,
310,06/22/19 21:30:00,11.625,21.5,,,,,
311,06/22/19 22:00:00,11.528,21.5,,,,,
312,06/22/19 22:30:00,11.528,21.5,,,,,
313,06/22/19 23:00:00,11.722,0.0,,,,,
314,06/22/19 23:30:00,11.528,0.0,,,,,
315,06/23/19 00:00:00,11.528,0.0,,,,,
316,06/23/19 00:30:00,11.722,0.0,,,,,
317,06/23/19 01:00:00,11.528,0.0,,,,,
318,06/23/19 01:30:00,11.625,0.0,,,,,
319,06/23/19 02:00:00,11.625,0.0,,,,,
320,06/23/19 02:30:00,11.722,0.0,,,,,
321,06/23/19 03:00:00,11.625,0.0,,,,,
322,06/23/19 03:30:00,11.528,0.0,,,,,
323,06/23/19 04:00:00,11.528,10.8,,,,,
324,06/23/19 04:30:00,11.431,32.3,,,,,
325,06/23/19 05:00:00,11.431,64.6,,,,,
326,06/23/19 05:30:00,11.431,64.6,,,,,
327,06/23/19 06:00:00,11.334,107.6,,,,,
328,06/23/19 06:30:00,11.334,172.2,,,,,
329,06/23/19 07:00:00,11.334,215.3,,,,,
330,06/23/19 07:30:00,11.334,139.9,,,,,
331,06/23/19 08:00:00,11.334,269.1,,,,,
332,06/23/19 08:30:00,11.334,290.6,,,,,
333,06/23/19 09:00:00,11.431,344.4,,,,,
334,06/23/19 09:30:00,11.431,366.0,,,,,
335,06/23/19 10:00:00,11.528,452.1,,,,,
336,06/23/19 10:30:00,11.625,462.9,,,,,
337,06/23/19 11:00:00,11.625,495.1,,,,,
338,06/23/19 11:30:00,11.625,495.1,,,,,
339,06/23/19 12:00:00,11.722,495.1,,,,,
340,06/23/19 12:30:00,11.916,549.0,,,,,
341,06/23/19 13:00:00,12.110,559.7,,,,,
342,06/23/19 13:30:00,12.207,581.3,,,,,
343,06/23/19 14:00:00,12.304,570.5,,,,,
344,06/23/19 14:30:00,12.401,570.5,,,,,
345,06/23/19 15:00:00,12.497,635.1,,,,,
346,06/23/19 15:30:00,12.690,592.0,,,,,
347,06/23/19 16:00:00,12.594,183.0,,,,,
348,06/23/19 16:30:00,12.594,430.6,,,,,
349,06/23/19 17:00:00,12.690,366.0,,,,,
350,06/23/19 17:30:00,12.690,322.9,,,,,
351,06/23/19 18:00:00,12.594,107.6,,,,,
352,06/23/19 18:30:00,12.594,107.6,,,,,
353,06/23/19 19:00:00,12.594,43.1,,,,,
354,06/23/19 19:30:00,12.690,139.9,,,,,
355,06/23/19 20:00:00,12.690,96.9,,,,,
356,06/23/19 20:30:00,12.690,21.5,,,,,
357,06/23/19 21:00:00,12.787,53.8,,,,,
358,06/23/19 21:30:00,12.980,32.3,,,,,
359,06/23/19 22:00:00,12.883,0.0,,,,,
360,06/23/19 22:30:00,12.690,0.0,,,,,
361,06/23/19 23:00:00,12.883,0.0,,,,,
362,06/23/19 23:30:00,12.690,0.0,,,,,
363,06/24/19 00:00:00,12.594,0.0,,,,,
364,06/24/19 00:30:00,12.690,0.0,,,,,
365,06/24/19 01:00:00,12.690,0.0,,,,,
366,06/24/19 01:30:00,12.690,0.0,,,,,
367,06/24/19 02:00:00,12.594,0.0,,,,,
368,06/24/19 02:30:00,12.690,0.0,,,,,
369,06/24/19 03:00:00,12.690,0.0,,,,,
