"Plot Title: 10517223"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: testT)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: testL)","Coupler Detached (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
245,06/13/14 12:00:00,23.388,159823.3,,
246,06/13/14 12:30:00,20.519,46844.8,,
247,06/13/14 13:00:00,20.519,55111.5,,
248,06/13/14 13:30:00,21.664,49600.3,,
249,06/13/14 14:00:00,21.091,39955.8,,
250,06/13/14 14:30:00,25.805,49600.3,,
251,06/13/14 15:00:00,26.195,49600.3,,
252,06/13/14 15:30:00,28.159,68889.3,,
253,06/13/14 16:00:00,24.158,46844.8,,
254,06/13/14 16:30:00,21.855,27555.7,,
255,06/13/14 17:00:00,21.473,44089.2,,
256,06/13/14 17:30:00,20.996,33066.9,,
257,06/13/14 18:00:00,20.519,30311.3,,
258,06/13/14 18:30:00,19.853,26178.0,,
259,06/13/14 19:00:00,20.805,28933.5,,
260,06/13/14 19:30:00,19.758,18600.1,,
261,06/13/14 20:00:00,18.236,12400.1,,
262,06/13/14 20:30:00,16.618,6200.0,,
263,06/13/14 21:00:00,15.760,5511.1,,
264,06/13/14 21:30:00,15.378,5338.9,,
265,06/13/14 22:00:00,15.282,4477.8,,
266,06/13/14 22:30:00,14.613,2497.2,,
267,06/13/14 23:00:00,14.230,2325.0,,
268,06/13/14 23:30:00,12.980,1377.8,,
269,06/14/14 00:00:00,12.401,678.1,,
270,06/14/14 00:30:00,11.625,344.4,,
271,06/14/14 01:00:00,11.916,172.2,,
272,06/14/14 01:30:00,11.819,129.2,,
273,06/14/14 02:00:00,11.625,139.9,,
274,06/14/14 02:30:00,12.110,290.6,,
275,06/14/14 03:00:00,12.401,645.8,,
276,06/14/14 03:30:00,12.787,1270.1,,
277,06/14/14 04:00:00,12.594,1463.9,,
278,06/14/14 04:30:00,12.883,2325.0,,
279,06/14/14 05:00:00,12.980,3272.2,,
280,06/14/14 05:30:00,12.690,4305.6,,
281,06/14/14 06:00:00,13.076,10333.4,,
282,06/14/14 06:30:00,13.558,14466.8,,
283,06/14/14 07:00:00,13.654,15155.7,,
284,06/14/14 07:30:00,14.230,20666.8,,
285,06/14/14 08:00:00,14.996,26178.0,,
286,06/14/14 08:30:00,15.760,27555.7,,
287,06/14/14 09:00:00,15.473,27555.7,,
288,06/14/14 09:30:00,17.950,30311.3,,
289,06/14/14 10:00:00,17.665,33066.9,,
290,06/14/14 10:30:00,17.475,46844.8,,
291,06/14/14 11:00:00,21.473,60622.6,,
292,06/14/14 11:30:00,35.328,99200.7,,
293,06/14/14 12:00:00,39.389,85422.8,,
294,06/14/14 12:30:00,25.319,63378.2,,
295,06/14/14 13:00:00,23.484,49600.3,,
296,06/14/14 13:30:00,18.901,34444.7,,
297,06/14/14 14:00:00,19.567,68889.3,,
298,06/14/14 14:30:00,19.948,33066.9,,
299,06/14/14 15:00:00,22.429,159823.3,,
300,06/14/14 15:30:00,19.377,30311.3,,
301,06/14/14 16:00:00,19.187,28933.5,,
302,06/14/14 16:30:00,21.473,37200.2,,
303,06/14/14 17:00:00,18.521,27555.7,,
304,06/14/14 17:30:00,18.521,57867.0,,
305,06/14/14 18:00:00,16.332,19977.9,,
306,06/14/14 18:30:00,16.523,17222.3,,
307,06/14/14 19:00:00,16.332,26178.0,,
308,06/14/14 19:30:00,16.237,14466.8,,
309,06/14/14 20:00:00,15.187,12400.1,,
310,06/14/14 20:30:00,14.709,9300.1,,
311,06/14/14 21:00:00,13.846,4650.0,,
312,06/14/14 21:30:00,13.365,3788.9,,
313,06/14/14 22:00:00,12.883,3444.5,,
314,06/14/14 22:30:00,12.594,2927.8,,
315,06/14/14 23:00:00,12.207,2238.9,,
316,06/14/14 23:30:00,11.819,1377.8,,
317,06/15/14 00:00:00,11.625,710.4,,
318,06/15/14 00:30:00,11.236,322.9,,
319,06/15/14 01:00:00,11.431,193.8,,
320,06/15/14 01:30:00,11.722,193.8,,
321,06/15/14 02:00:00,11.528,226.0,,
322,06/15/14 02:30:00,11.625,527.4,,
323,06/15/14 03:00:00,11.528,667.4,,
324,06/15/14 03:30:00,11.528,1291.7,,
325,06/15/14 04:00:00,11.528,1636.1,,
326,06/15/14 04:30:00,11.722,2497.2,,
327,06/15/14 05:00:00,12.013,5338.9,,
328,06/15/14 05:30:00,12.207,5511.1,,
329,06/15/14 06:00:00,13.846,28933.5,,
330,06/15/14 06:30:00,15.664,14466.8,,
331,06/15/14 07:00:00,14.421,18600.1,,
332,06/15/14 07:30:00,14.709,11022.3,,
333,06/15/14 08:00:00,13.942,3616.7,,
334,06/15/14 08:30:00,16.141,21355.7,,
335,06/15/14 09:00:00,18.616,28933.5,,
336,06/15/14 09:30:00,20.996,38578.0,,
337,06/15/14 10:00:00,18.711,22044.6,,
338,06/15/14 10:30:00,17.189,38578.0,,
339,06/15/14 11:00:00,19.092,44089.2,,
340,06/15/14 11:30:00,18.236,23422.4,,
341,06/15/14 12:00:00,23.004,31689.1,,
342,06/15/14 12:30:00,23.773,24800.2,,
343,06/15/14 13:00:00,21.569,30311.3,,
344,06/15/14 13:30:00,20.329,30311.3,,
345,06/15/14 14:00:00,22.621,30311.3,,
346,06/15/14 14:30:00,20.138,28933.5,,
347,06/15/14 15:00:00,15.569,24800.2,,
348,06/15/14 15:30:00,15.282,22044.6,,
349,06/15/14 16:00:00,16.332,49600.3,,
350,06/15/14 16:30:00,19.567,39955.8,,
351,06/15/14 17:00:00,23.581,46844.8,,
352,06/15/14 17:30:00,21.951,38578.0,,
353,06/15/14 18:00:00,23.388,41333.6,,
354,06/15/14 18:30:00,18.331,15844.5,,
355,06/15/14 19:00:00,15.378,4822.3,,
356,06/15/14 19:30:00,14.613,7233.4,,
357,06/15/14 20:00:00,14.900,4477.8,,
358,06/15/14 20:30:00,14.613,2583.4,,
359,06/15/14 21:00:00,14.134,2066.7,,
360,06/15/14 21:30:00,14.038,2755.6,,
361,06/15/14 22:00:00,13.654,3100.0,,
362,06/15/14 22:30:00,14.038,3616.7,,
363,06/15/14 23:00:00,13.846,2411.1,,
364,06/15/14 23:30:00,13.461,839.6,,
365,06/16/14 00:00:00,13.461,807.3,,
366,06/16/14 00:30:00,13.173,613.5,,
367,06/16/14 01:00:00,12.497,462.9,,
368,06/16/14 01:30:00,12.787,322.9,,
369,06/16/14 02:00:00,13.076,570.5,,
370,06/16/14 02:30:00,13.269,1011.8,,
371,06/16/14 03:00:00,12.883,1980.6,,
372,06/16/14 03:30:00,12.980,3788.9,,
373,06/16/14 04:00:00,13.269,5166.7,,
