"Plot Title: E2 pelagic"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)","Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)","Good Battery (LGR S/N: 10349970)","Coupler Attached (LGR S/N: 10349970)","Coupler Detached (LGR S/N: 10349970)","Host Connected (LGR S/N: 10349970)","Stopped (LGR S/N: 10349970)","End Of File (LGR S/N: 10349970)"
182,08/01/20 06:30:00,11.139,301.4,,,,,,
183,08/01/20 07:00:00,11.236,1119.5,,,,,,
184,08/01/20 07:30:00,11.236,731.9,,,,,,
185,08/01/20 08:00:00,11.334,925.7,,,,,,
186,08/01/20 08:30:00,11.334,1087.2,,,,,,
187,08/01/20 09:00:00,11.431,1463.9,,,,,,
188,08/01/20 09:30:00,11.431,3961.1,,,,,,
189,08/01/20 10:00:00,11.334,5166.7,,,,,,
190,08/01/20 10:30:00,11.334,10333.4,,,,,,
191,08/01/20 11:00:00,11.236,12400.1,,,,,,
192,08/01/20 11:30:00,11.334,8266.7,,,,,,
193,08/01/20 12:00:00,11.819,27555.7,,,,,,
194,08/01/20 12:30:00,11.819,31689.1,,,,,,
195,08/01/20 13:00:00,11.334,5166.7,,,,,,
196,08/01/20 13:30:00,11.334,8266.7,,,,,,
197,08/01/20 14:00:00,11.431,7233.4,,,,,,
198,08/01/20 14:30:00,11.334,5511.1,,,,,,
199,08/01/20 15:00:00,11.431,6200.0,,,,,,
200,08/01/20 15:30:00,11.334,5511.1,,,,,,
201,08/01/20 16:00:00,11.334,5511.1,,,,,,
202,08/01/20 16:30:00,11.431,7233.4,,,,,,
203,08/01/20 17:00:00,11.334,5166.7,,,,,,
204,08/01/20 17:30:00,11.431,4822.3,,,,,,
205,08/01/20 18:00:00,11.431,5338.9,,,,,,
206,08/01/20 18:30:00,11.431,4477.8,,,,,,
207,08/01/20 19:00:00,11.431,3961.1,,,,,,
208,08/01/20 19:30:00,11.431,3272.2,,,,,,
209,08/01/20 20:00:00,11.334,1151.7,,,,,,
210,08/01/20 20:30:00,11.431,699.7,,,,,,
