"Plot Title: MD_e6_5Jun2021"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Temp)","Intensity, Lux (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Light)","Coupler Attached (LGR S/N: 10517215)","Host Connected (LGR S/N: 10517215)","Coupler Detached (LGR S/N: 10517215)","Stopped (LGR S/N: 10517215)","End Of File (LGR S/N: 10517215)"
146,06/11/21 14:30:00,10.748,6544.5,,,,,
147,06/11/21 15:30:00,10.944,9644.5,,,,,
148,06/11/21 16:30:00,10.748,3788.9,,,,,
149,06/11/21 17:30:00,10.553,4133.4,,,,,
150,06/11/21 18:30:00,10.455,4822.3,,,,,
151,06/11/21 19:30:00,10.259,2755.6,,,,,
152,06/11/21 20:30:00,10.161,2497.2,,,,,
153,06/11/21 21:30:00,9.768,1097.9,,,,,
154,06/11/21 22:30:00,9.571,118.4,,,,,
155,06/11/21 23:30:00,9.176,64.6,,,,,
156,06/12/21 00:30:00,8.779,32.3,,,,,
157,06/12/21 01:30:00,8.978,10.8,,,,,
158,06/12/21 02:30:00,8.978,32.3,,,,,
159,06/12/21 03:30:00,8.779,118.4,,,,,
160,06/12/21 04:30:00,8.581,495.1,,,,,
161,06/12/21 05:30:00,8.082,1044.1,,,,,
162,06/12/21 06:30:00,8.382,2066.7,,,,,
163,06/12/21 07:30:00,7.983,1227.1,,,,,
164,06/12/21 08:30:00,7.782,2755.6,,,,,
165,06/12/21 09:30:00,8.082,4650.0,,,,,
166,06/12/21 10:30:00,8.680,5166.7,,,,,
167,06/12/21 11:30:00,8.978,22044.6,,,,,
168,06/12/21 12:30:00,9.077,34444.7,,,,,
169,06/12/21 13:30:00,9.373,26178.0,,,,,
170,06/12/21 14:30:00,9.669,27555.7,,,,,
171,06/12/21 15:30:00,9.669,28933.5,,,,,
172,06/12/21 16:30:00,9.669,16533.4,,,,,
173,06/12/21 17:30:00,9.275,9644.5,,,,,
174,06/12/21 18:30:00,9.176,7233.4,,,,,
175,06/12/21 19:30:00,9.077,3272.2,,,,,
176,06/12/21 20:30:00,8.978,2325.0,,,,,
177,06/12/21 21:30:00,8.779,1377.8,,,,,
178,06/12/21 22:30:00,8.680,592.0,,,,,
179,06/12/21 23:30:00,8.680,183.0,,,,,
180,06/13/21 00:30:00,8.481,75.3,,,,,
181,06/13/21 01:30:00,8.481,86.1,,,,,
182,06/13/21 02:30:00,8.282,96.9,,,,,
183,06/13/21 03:30:00,8.481,312.2,,,,,
184,06/13/21 04:30:00,9.077,592.0,,,,,
185,06/13/21 05:30:00,8.879,484.4,,,,,
186,06/13/21 06:30:00,8.680,1097.9,,,,,
187,06/13/21 07:30:00,8.978,914.9,,,,,
188,06/13/21 08:30:00,8.879,1377.8,,,,,
189,06/13/21 09:30:00,9.176,1808.3,,,,,
190,06/13/21 10:30:00,9.077,2669.5,,,,,
191,06/13/21 11:30:00,9.077,3100.0,,,,,
192,06/13/21 12:30:00,8.879,2927.8,,,,,
