"Plot Title: md_st33_benthic_13Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349961, SEN S/N: 10349961, LBL: Temperature)","Intensity, Lux (LGR S/N: 10349961, SEN S/N: 10349961, LBL: Light)","Coupler Attached (LGR S/N: 10349961)","Host Connected (LGR S/N: 10349961)","Stopped (LGR S/N: 10349961)","End Of File (LGR S/N: 10349961)"
156,06/16/19 19:30:00,13.365,5338.9,,,,
157,06/16/19 20:00:00,13.365,2325.0,,,,
158,06/16/19 20:30:00,13.269,1377.8,,,,
159,06/16/19 21:00:00,13.269,1237.9,,,,
160,06/16/19 21:30:00,13.269,1367.0,,,,
161,06/16/19 22:00:00,13.173,785.8,,,,
162,06/16/19 22:30:00,13.173,441.3,,,,
163,06/16/19 23:00:00,13.173,279.9,,,,
164,06/16/19 23:30:00,13.173,161.5,,,,
165,06/17/19 00:00:00,13.076,96.9,,,,
166,06/17/19 00:30:00,13.076,64.6,,,,
167,06/17/19 01:00:00,13.076,53.8,,,,
168,06/17/19 01:30:00,12.980,53.8,,,,
169,06/17/19 02:00:00,12.980,75.3,,,,
170,06/17/19 02:30:00,12.980,129.2,,,,
171,06/17/19 03:00:00,12.980,236.8,,,,
172,06/17/19 03:30:00,12.980,441.3,,,,
173,06/17/19 04:00:00,12.980,495.1,,,,
174,06/17/19 04:30:00,12.980,893.4,,,,
175,06/17/19 05:00:00,12.980,925.7,,,,
176,06/17/19 05:30:00,12.980,861.1,,,,
177,06/17/19 06:00:00,12.980,1011.8,,,,
178,06/17/19 06:30:00,12.980,1636.1,,,,
179,06/17/19 07:00:00,12.980,1550.0,,,,
180,06/17/19 07:30:00,12.980,1980.6,,,,
181,06/17/19 08:00:00,12.980,2238.9,,,,
182,06/17/19 08:30:00,13.076,3444.5,,,,
183,06/17/19 09:00:00,13.076,3444.5,,,,
184,06/17/19 09:30:00,13.173,3272.2,,,,
185,06/17/19 10:00:00,13.076,2755.6,,,,
186,06/17/19 10:30:00,13.076,2927.8,,,,
187,06/17/19 11:00:00,12.980,5338.9,,,,
188,06/17/19 11:30:00,12.980,3616.7,,,,
189,06/17/19 12:00:00,13.076,4822.3,,,,
190,06/17/19 12:30:00,12.980,3100.0,,,,
191,06/17/19 13:00:00,12.883,2497.2,,,,
192,06/17/19 13:30:00,12.883,1463.9,,,,
193,06/17/19 14:00:00,12.883,2066.7,,,,
194,06/17/19 14:30:00,12.787,1044.1,,,,
195,06/17/19 15:00:00,12.787,904.2,,,,
196,06/17/19 15:30:00,12.690,721.2,,,,
197,06/17/19 16:00:00,12.690,667.4,,,,
198,06/17/19 16:30:00,12.690,775.0,,,,
199,06/17/19 17:00:00,12.690,947.2,,,,
200,06/17/19 17:30:00,12.690,1550.0,,,,
201,06/17/19 18:00:00,12.594,1248.6,,,,
202,06/17/19 18:30:00,12.594,882.6,,,,
203,06/17/19 19:00:00,12.594,1011.8,,,,
204,06/17/19 19:30:00,12.594,699.7,,,,
205,06/17/19 20:00:00,12.497,473.6,,,,
206,06/17/19 20:30:00,12.497,462.9,,,,
207,06/17/19 21:00:00,12.497,279.9,,,,
208,06/17/19 21:30:00,12.401,236.8,,,,
209,06/17/19 22:00:00,12.401,96.9,,,,
210,06/17/19 22:30:00,12.304,139.9,,,,
211,06/17/19 23:00:00,12.304,53.8,,,,
212,06/17/19 23:30:00,12.304,10.8,,,,
213,06/18/19 00:00:00,12.207,0.0,,,,
214,06/18/19 00:30:00,12.207,0.0,,,,
215,06/18/19 01:00:00,12.110,0.0,,,,
216,06/18/19 01:30:00,12.110,0.0,,,,
217,06/18/19 02:00:00,12.110,10.8,,,,
218,06/18/19 02:30:00,12.013,10.8,,,,
219,06/18/19 03:00:00,12.013,32.3,,,,
220,06/18/19 03:30:00,11.916,21.5,,,,
221,06/18/19 04:00:00,11.916,64.6,,,,
222,06/18/19 04:30:00,11.916,86.1,,,,
223,06/18/19 05:00:00,11.916,150.7,,,,
224,06/18/19 05:30:00,11.819,387.5,,,,
225,06/18/19 06:00:00,11.819,570.5,,,,
226,06/18/19 06:30:00,11.819,613.5,,,,
227,06/18/19 07:00:00,11.819,1001.0,,,,
228,06/18/19 07:30:00,11.819,1377.8,,,,
229,06/18/19 08:00:00,11.819,1463.9,,,,
230,06/18/19 08:30:00,11.819,1808.3,,,,
231,06/18/19 09:00:00,11.819,2927.8,,,,
232,06/18/19 09:30:00,11.722,2927.8,,,,
233,06/18/19 10:00:00,11.819,3961.1,,,,
234,06/18/19 10:30:00,11.722,2927.8,,,,
235,06/18/19 11:00:00,11.722,3788.9,,,,
236,06/18/19 11:30:00,11.625,2325.0,,,,
237,06/18/19 12:00:00,11.722,2927.8,,,,
238,06/18/19 12:30:00,11.625,3616.7,,,,
239,06/18/19 13:00:00,11.722,4133.4,,,,
240,06/18/19 13:30:00,11.722,3961.1,,,,
241,06/18/19 14:00:00,11.625,1808.3,,,,
242,06/18/19 14:30:00,11.528,1194.8,,,,
243,06/18/19 15:00:00,11.528,2497.2,,,,
244,06/18/19 15:30:00,11.528,2411.1,,,,
245,06/18/19 16:00:00,11.528,2755.6,,,,
246,06/18/19 16:30:00,11.528,2238.9,,,,
247,06/18/19 17:00:00,11.528,1808.3,,,,
248,06/18/19 17:30:00,11.528,2325.0,,,,
249,06/18/19 18:00:00,11.431,1980.6,,,,
250,06/18/19 18:30:00,11.431,1324.0,,,,
251,06/18/19 19:00:00,11.334,1097.9,,,,
252,06/18/19 19:30:00,11.334,1356.3,,,,
253,06/18/19 20:00:00,11.334,850.4,,,,
254,06/18/19 20:30:00,11.236,828.8,,,,
255,06/18/19 21:00:00,11.236,871.9,,,,
256,06/18/19 21:30:00,11.139,473.6,,,,
257,06/18/19 22:00:00,11.139,366.0,,,,
258,06/18/19 22:30:00,11.139,139.9,,,,
259,06/18/19 23:00:00,11.041,75.3,,,,
260,06/18/19 23:30:00,11.041,64.6,,,,
261,06/19/19 00:00:00,11.041,10.8,,,,
262,06/19/19 00:30:00,11.041,10.8,,,,
263,06/19/19 01:00:00,10.944,0.0,,,,
264,06/19/19 01:30:00,10.944,21.5,,,,
265,06/19/19 02:00:00,10.944,10.8,,,,
266,06/19/19 02:30:00,10.846,21.5,,,,
267,06/19/19 03:00:00,10.846,43.1,,,,
268,06/19/19 03:30:00,10.748,86.1,,,,
269,06/19/19 04:00:00,10.748,107.6,,,,
270,06/19/19 04:30:00,10.748,139.9,,,,
