"Plot Title: e3_1m_19Jun221"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10419460, SEN S/N: 10419460, LBL: temp)","Intensity, Lux (LGR S/N: 10419460, SEN S/N: 10419460, LBL: light)","Coupler Attached (LGR S/N: 10419460)","Stopped (LGR S/N: 10419460)","End Of File (LGR S/N: 10419460)"
240,06/29/21 09:00:00,11.625,2325.0,,,
241,06/29/21 10:00:00,11.722,3100.0,,,
242,06/29/21 11:00:00,11.819,1808.3,,,
243,06/29/21 12:00:00,11.916,2325.0,,,
244,06/29/21 13:00:00,12.207,4822.3,,,
245,06/29/21 14:00:00,12.304,3616.7,,,
246,06/29/21 15:00:00,12.594,8266.7,,,
247,06/29/21 16:00:00,12.690,8266.7,,,
248,06/29/21 17:00:00,12.883,9300.1,,,
249,06/29/21 18:00:00,12.980,6544.5,,,
250,06/29/21 19:00:00,12.980,4822.3,,,
251,06/29/21 20:00:00,12.980,2325.0,,,
252,06/29/21 21:00:00,12.883,1011.8,,,
253,06/29/21 22:00:00,12.690,215.3,,,
254,06/29/21 23:00:00,12.594,64.6,,,
255,06/30/21 00:00:00,12.594,21.5,,,
256,06/30/21 01:00:00,12.497,0.0,,,
257,06/30/21 02:00:00,12.497,0.0,,,
258,06/30/21 03:00:00,12.401,0.0,,,
259,06/30/21 04:00:00,12.304,10.8,,,
260,06/30/21 05:00:00,12.304,53.8,,,
261,06/30/21 06:00:00,12.207,75.3,,,
262,06/30/21 07:00:00,12.207,387.5,,,
263,06/30/21 08:00:00,12.207,613.5,,,
264,06/30/21 09:00:00,12.304,1022.6,,,
265,06/30/21 10:00:00,12.497,861.1,,,
266,06/30/21 11:00:00,12.594,2066.7,,,
267,06/30/21 12:00:00,12.787,2238.9,,,
268,06/30/21 13:00:00,12.883,1894.5,,,
269,06/30/21 14:00:00,12.980,1076.4,,,
270,06/30/21 15:00:00,13.076,1550.0,,,
271,06/30/21 16:00:00,13.269,818.1,,,
272,06/30/21 17:00:00,13.365,775.0,,,
273,06/30/21 18:00:00,13.461,1808.3,,,
274,06/30/21 19:00:00,13.558,1550.0,,,
275,06/30/21 20:00:00,13.461,947.2,,,
276,06/30/21 21:00:00,13.461,419.8,,,
277,06/30/21 22:00:00,13.461,96.9,,,
278,06/30/21 23:00:00,13.365,21.5,,,
279,07/01/21 00:00:00,13.365,0.0,,,
280,07/01/21 01:00:00,13.365,0.0,,,
281,07/01/21 02:00:00,13.269,0.0,,,
282,07/01/21 03:00:00,13.173,0.0,,,
283,07/01/21 04:00:00,13.076,96.9,,,
284,07/01/21 05:00:00,13.076,139.9,,,
285,07/01/21 06:00:00,13.076,398.3,,,
286,07/01/21 07:00:00,13.076,1237.9,,,
287,07/01/21 08:00:00,13.173,2152.8,,,
288,07/01/21 09:00:00,13.173,1808.3,,,
289,07/01/21 10:00:00,13.365,2411.1,,,
290,07/01/21 11:00:00,13.558,3788.9,,,
291,07/01/21 12:00:00,13.558,3444.5,,,
292,07/01/21 13:00:00,13.558,3961.1,,,
