"Plot Title: MD_Grim_P_16Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Temperature)","Intensity, Lux (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Light Intensity)","Coupler Attached (LGR S/N: 10517221)","Host Connected (LGR S/N: 10517221)","Stopped (LGR S/N: 10517221)","End Of File (LGR S/N: 10517221)"
146,06/19/19 11:30:00,12.110,7577.8,,,,
147,06/19/19 12:00:00,12.013,7233.4,,,,
148,06/19/19 12:30:00,12.013,8611.2,,,,
149,06/19/19 13:00:00,12.110,6200.0,,,,
150,06/19/19 13:30:00,11.916,7577.8,,,,
151,06/19/19 14:00:00,11.916,5166.7,,,,
152,06/19/19 14:30:00,11.819,4133.4,,,,
153,06/19/19 15:00:00,11.916,6200.0,,,,
154,06/19/19 15:30:00,11.916,7577.8,,,,
155,06/19/19 16:00:00,12.013,8266.7,,,,
156,06/19/19 16:30:00,12.013,7233.4,,,,
157,06/19/19 17:00:00,12.013,7577.8,,,,
158,06/19/19 17:30:00,12.013,6200.0,,,,
159,06/19/19 18:00:00,11.916,6200.0,,,,
160,06/19/19 18:30:00,11.819,3961.1,,,,
161,06/19/19 19:00:00,11.722,4822.3,,,,
162,06/19/19 19:30:00,11.722,4305.6,,,,
163,06/19/19 20:00:00,11.722,3788.9,,,,
164,06/19/19 20:30:00,11.625,3272.2,,,,
165,06/19/19 21:00:00,11.625,2669.5,,,,
166,06/19/19 21:30:00,11.528,1227.1,,,,
167,06/19/19 22:00:00,11.431,731.9,,,,
168,06/19/19 22:30:00,11.431,301.4,,,,
169,06/19/19 23:00:00,11.431,247.6,,,,
170,06/19/19 23:30:00,11.431,150.7,,,,
171,06/20/19 00:00:00,11.431,53.8,,,,
172,06/20/19 00:30:00,11.334,21.5,,,,
173,06/20/19 01:00:00,11.334,10.8,,,,
174,06/20/19 01:30:00,11.334,10.8,,,,
175,06/20/19 02:00:00,11.334,10.8,,,,
176,06/20/19 02:30:00,11.334,21.5,,,,
177,06/20/19 03:00:00,11.334,64.6,,,,
178,06/20/19 03:30:00,11.334,139.9,,,,
179,06/20/19 04:00:00,11.236,226.0,,,,
180,06/20/19 04:30:00,11.236,193.8,,,,
181,06/20/19 05:00:00,11.236,322.9,,,,
182,06/20/19 05:30:00,11.236,656.6,,,,
183,06/20/19 06:00:00,11.236,871.9,,,,
184,06/20/19 06:30:00,11.236,1022.6,,,,
185,06/20/19 07:00:00,11.236,1054.9,,,,
186,06/20/19 07:30:00,11.236,1722.2,,,,
187,06/20/19 08:00:00,11.334,2411.1,,,,
188,06/20/19 08:30:00,11.334,3100.0,,,,
189,06/20/19 09:00:00,11.431,4477.8,,,,
190,06/20/19 09:30:00,11.431,4477.8,,,,
191,06/20/19 10:00:00,11.528,6200.0,,,,
192,06/20/19 10:30:00,11.625,9300.1,,,,
193,06/20/19 11:00:00,11.625,5511.1,,,,
194,06/20/19 11:30:00,11.528,7577.8,,,,
195,06/20/19 12:00:00,11.722,6200.0,,,,
196,06/20/19 12:30:00,11.431,4650.0,,,,
197,06/20/19 13:00:00,11.431,4133.4,,,,
198,06/20/19 13:30:00,11.625,6544.5,,,,
199,06/20/19 14:00:00,11.528,5166.7,,,,
200,06/20/19 14:30:00,11.625,6544.5,,,,
