Plot Title: Reyk_Pelagic_17Jul18								
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)"	"Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)"	Coupler Attached (LGR S/N: 10349970)	Coupler Detached (LGR S/N: 10349970)	Host Connected (LGR S/N: 10349970)	Stopped (LGR S/N: 10349970)	End Of File (LGR S/N: 10349970)
202	7/19/2018 13:15	13.846	2927.8					
203	7/19/2018 13:30	13.846	1636.1					
204	7/19/2018 13:45	14.038	1463.9					
205	7/19/2018 14:00	13.942	1216.3					
206	7/19/2018 14:15	13.942	1377.8					
207	7/19/2018 14:30	13.846	1377.8					
208	7/19/2018 14:45	13.942	1636.1					
209	7/19/2018 15:00	13.942	1722.2					
210	7/19/2018 15:15	13.942	1722.2					
211	7/19/2018 15:30	13.942	1722.2					
212	7/19/2018 15:45	14.038	2497.2					
213	7/19/2018 16:00	14.134	2583.4					
214	7/19/2018 16:15	14.134	1894.5					
215	7/19/2018 16:30	14.134	2238.9					
216	7/19/2018 16:45	14.134	1463.9					
217	7/19/2018 17:00	14.134	1001					
218	7/19/2018 17:15	14.134	828.8					
219	7/19/2018 17:30	14.134	1216.3					
220	7/19/2018 17:45	14.134	904.2					
221	7/19/2018 18:00	14.134	861.1					
222	7/19/2018 18:15	14.134	366					
223	7/19/2018 18:30	14.134	387.5					
224	7/19/2018 18:45	14.134	247.6					
225	7/19/2018 19:00	14.134	226					
226	7/19/2018 19:15	14.038	204.5					
227	7/19/2018 19:30	14.038	161.5					
228	7/19/2018 19:45	14.038	172.2					
229	7/19/2018 20:00	14.038	161.5					
230	7/19/2018 20:15	14.038	172.2					
231	7/19/2018 20:30	14.038	86.1					
232	7/19/2018 20:45	14.038	64.6					
233	7/19/2018 21:00	14.038	53.8					
234	7/19/2018 21:15	14.038	43.1					
235	7/19/2018 21:30	13.942	21.5					
236	7/19/2018 21:45	13.942	10.8					
237	7/19/2018 22:00	13.942	10.8					
238	7/19/2018 22:15	13.942	0					
239	7/19/2018 22:30	13.942	0					
240	7/19/2018 22:45	13.942	0					
241	7/19/2018 23:00	13.942	0					
242	7/19/2018 23:15	13.942	0					
243	7/19/2018 23:30	13.942	0					
244	7/19/2018 23:45	13.942	0					
245	7/20/2018 0:00	13.942	0					
246	7/20/2018 0:15	13.942	0					
247	7/20/2018 0:30	13.846	0					
248	7/20/2018 0:45	13.846	0					
249	7/20/2018 1:00	13.846	0					
250	7/20/2018 1:15	13.846	0					
251	7/20/2018 1:30	13.846	0					
252	7/20/2018 1:45	13.846	0					
253	7/20/2018 2:00	13.846	0					
254	7/20/2018 2:15	13.846	0					
255	7/20/2018 2:30	13.846	0					
256	7/20/2018 2:45	13.75	0					
257	7/20/2018 3:00	13.75	0					
258	7/20/2018 3:15	13.75	0					
259	7/20/2018 3:30	13.75	0					
260	7/20/2018 3:45	13.75	0					
261	7/20/2018 4:00	13.75	21.5					
262	7/20/2018 4:15	13.75	32.3					
263	7/20/2018 4:30	13.75	43.1					
264	7/20/2018 4:45	13.75	86.1					
265	7/20/2018 5:00	13.75	129.2					
266	7/20/2018 5:15	13.654	150.7					
267	7/20/2018 5:30	13.654	193.8					
268	7/20/2018 5:45	13.654	236.8					
269	7/20/2018 6:00	13.654	333.7					
270	7/20/2018 6:15	13.654	430.6					
271	7/20/2018 6:30	13.654	473.6					
272	7/20/2018 6:45	13.654	452.1					
273	7/20/2018 7:00	13.654	613.5					
274	7/20/2018 7:15	13.654	430.6					
275	7/20/2018 7:30	13.654	409					
276	7/20/2018 7:45	13.654	505.9					
277	7/20/2018 8:00	13.654	624.3					
278	7/20/2018 8:15	13.654	775					
279	7/20/2018 8:30	13.654	613.5					
280	7/20/2018 8:45	13.654	613.5					
281	7/20/2018 9:00	13.654	613.5					
282	7/20/2018 9:15	13.654	376.7					
283	7/20/2018 9:30	13.654	387.5					
284	7/20/2018 9:45	13.654	279.9					
285	7/20/2018 10:00	13.654	183					
286	7/20/2018 10:15	13.654	226					
287	7/20/2018 10:30	13.654	215.3					
288	7/20/2018 10:45	13.654	193.8					
289	7/20/2018 11:00	13.654	247.6					
290	7/20/2018 11:15	13.654	376.7					
291	7/20/2018 11:30	13.654	409					
292	7/20/2018 11:45	13.654	430.6					
293	7/20/2018 12:00	13.75	290.6					
294	7/20/2018 12:15	13.654	236.8					
295	7/20/2018 12:30	13.75	215.3					
296	7/20/2018 12:45	13.75	236.8					
297	7/20/2018 13:00	13.75	452.1					
298	7/20/2018 13:15	13.942	387.5					
299	7/20/2018 13:30	13.846	462.9					
300	7/20/2018 13:45	13.846	484.4					
301	7/20/2018 14:00	13.846	904.2					
302	7/20/2018 14:15	13.846	1087.2					
303	7/20/2018 14:30	13.846	753.5					
304	7/20/2018 14:45	13.846	613.5					
305	7/20/2018 15:00	13.846	366					
306	7/20/2018 15:15	13.846	301.4					
307	7/20/2018 15:30	13.846	258.3					
308	7/20/2018 15:45	13.846	247.6					
309	7/20/2018 16:00	13.846	269.1					
310	7/20/2018 16:15	13.846	312.2					
311	7/20/2018 16:30	13.846	204.5					
312	7/20/2018 16:45	13.846	193.8					
313	7/20/2018 17:00	13.846	172.2					
314	7/20/2018 17:15	13.846	344.4					
315	7/20/2018 17:30	13.846	183					
316	7/20/2018 17:45	13.942	290.6					
317	7/20/2018 18:00	13.942	559.7					
318	7/20/2018 18:15	13.942	333.7					
319	7/20/2018 18:30	13.942	279.9					
320	7/20/2018 18:45	13.942	215.3					
321	7/20/2018 19:00	13.942	236.8					
322	7/20/2018 19:15	13.942	86.1					
323	7/20/2018 19:30	13.846	226					
324	7/20/2018 19:45	13.942	226					
325	7/20/2018 20:00	13.942	204.5					
326	7/20/2018 20:15	13.942	107.6					
327	7/20/2018 20:30	13.942	107.6					
328	7/20/2018 20:45	13.846	53.8					
329	7/20/2018 21:00	13.846	64.6					
330	7/20/2018 21:15	13.942	64.6					
331	7/20/2018 21:30	13.942	32.3					
332	7/20/2018 21:45	13.942	32.3					
333	7/20/2018 22:00	13.942	10.8					
334	7/20/2018 22:15	13.942	0					
335	7/20/2018 22:30	13.942	0					
336	7/20/2018 22:45	13.942	0					
337	7/20/2018 23:00	13.846	0					
338	7/20/2018 23:15	13.846	0					
339	7/20/2018 23:30	13.846	0					
340	7/20/2018 23:45	13.846	0					
341	7/21/2018 0:00	13.846	0					
342	7/21/2018 0:15	13.846	0					
343	7/21/2018 0:30	13.75	0					
344	7/21/2018 0:45	13.75	0					
345	7/21/2018 1:00	13.75	0					
346	7/21/2018 1:15	13.75	0					
347	7/21/2018 1:30	13.75	0					
348	7/21/2018 1:45	13.75	0					
349	7/21/2018 2:00	13.75	0					
350	7/21/2018 2:15	13.75	0					
351	7/21/2018 2:30	13.75	0					
352	7/21/2018 2:45	13.75	0					
353	7/21/2018 3:00	13.75	0					
354	7/21/2018 3:15	13.654	0					
355	7/21/2018 3:30	13.654	0					
356	7/21/2018 3:45	13.654	0					
357	7/21/2018 4:00	13.654	0					
358	7/21/2018 4:15	13.654	10.8					
359	7/21/2018 4:30	13.654	32.3					
360	7/21/2018 4:45	13.654	32.3					
361	7/21/2018 5:00	13.654	21.5					
362	7/21/2018 5:15	13.654	32.3					
363	7/21/2018 5:30	13.654	64.6					
364	7/21/2018 5:45	13.654	75.3					
365	7/21/2018 6:00	13.654	107.6					
366	7/21/2018 6:15	13.654	139.9					
367	7/21/2018 6:30	13.75	86.1					
368	7/21/2018 6:45	13.654	129.2					
369	7/21/2018 7:00	13.75	193.8					
370	7/21/2018 7:15	13.654	150.7					
371	7/21/2018 7:30	13.654	118.4					
372	7/21/2018 7:45	13.654	183					
373	7/21/2018 8:00	13.654	236.8					
374	7/21/2018 8:15	13.654	247.6					
375	7/21/2018 8:30	13.654	376.7					
376	7/21/2018 8:45	13.654	269.1					
377	7/21/2018 9:00	13.654	484.4					
378	7/21/2018 9:15	13.654	387.5					
379	7/21/2018 9:30	13.654	516.7					
380	7/21/2018 9:45	13.654	409					
381	7/21/2018 10:00	13.654	387.5					
382	7/21/2018 10:15	13.654	366					
383	7/21/2018 10:30	13.654	387.5					
384	7/21/2018 10:45	13.75	419.8					
