"Plot Title: MD_E6_Pel_29Jul20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Temp)","Intensity, Lux (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Light)","Good Battery (LGR S/N: 10517216)","Coupler Attached (LGR S/N: 10517216)","Host Connected (LGR S/N: 10517216)","Stopped (LGR S/N: 10517216)","End Of File (LGR S/N: 10517216)"
142,08/01/20 10:30:00,11.334,4822.3,,,,,
143,08/01/20 11:00:00,11.334,7233.4,,,,,
144,08/01/20 11:30:00,11.431,4477.8,,,,,
145,08/01/20 12:00:00,11.334,1377.8,,,,,
146,08/01/20 12:30:00,11.334,1194.8,,,,,
147,08/01/20 13:00:00,11.431,3788.9,,,,,
148,08/01/20 13:30:00,11.139,1377.8,,,,,
149,08/01/20 14:00:00,11.236,2411.1,,,,,
150,08/01/20 14:30:00,11.139,2152.8,,,,,
151,08/01/20 15:00:00,11.139,1636.1,,,,,
152,08/01/20 15:30:00,11.139,1377.8,,,,,
153,08/01/20 16:00:00,11.139,1808.3,,,,,
154,08/01/20 16:30:00,11.139,2066.7,,,,,
155,08/01/20 17:00:00,11.139,1808.3,,,,,
156,08/01/20 17:30:00,11.139,1463.9,,,,,
157,08/01/20 18:00:00,11.139,1550.0,,,,,
158,08/01/20 18:30:00,11.139,1463.9,,,,,
159,08/01/20 19:00:00,11.139,1194.8,,,,,
160,08/01/20 19:30:00,11.139,516.7,,,,,
161,08/01/20 20:00:00,11.139,602.8,,,,,
162,08/01/20 20:30:00,11.139,301.4,,,,,
163,08/01/20 21:00:00,11.139,129.2,,,,,
164,08/01/20 21:30:00,11.139,129.2,,,,,
165,08/01/20 22:00:00,11.139,10.8,,,,,
166,08/01/20 22:30:00,11.139,0.0,,,,,
167,08/01/20 23:00:00,11.139,0.0,,,,,
168,08/01/20 23:30:00,11.139,0.0,,,,,
169,08/02/20 00:00:00,11.139,0.0,,,,,
170,08/02/20 00:30:00,11.041,0.0,,,,,
171,08/02/20 01:00:00,11.041,0.0,,,,,
172,08/02/20 01:30:00,11.041,0.0,,,,,
173,08/02/20 02:00:00,10.944,0.0,,,,,
174,08/02/20 02:30:00,10.944,0.0,,,,,
175,08/02/20 03:00:00,10.944,0.0,,,,,
176,08/02/20 03:30:00,10.944,0.0,,,,,
177,08/02/20 04:00:00,10.846,0.0,,,,,
178,08/02/20 04:30:00,10.944,0.0,,,,,
179,08/02/20 05:00:00,10.846,64.6,,,,,
180,08/02/20 05:30:00,10.944,258.3,,,,,
181,08/02/20 06:00:00,10.944,516.7,,,,,
182,08/02/20 06:30:00,10.944,495.1,,,,,
183,08/02/20 07:00:00,10.944,366.0,,,,,
184,08/02/20 07:30:00,10.944,979.5,,,,,
185,08/02/20 08:00:00,10.944,1130.2,,,,,
186,08/02/20 08:30:00,10.944,1808.3,,,,,
187,08/02/20 09:00:00,11.041,1463.9,,,,,
188,08/02/20 09:30:00,11.041,1636.1,,,,,
189,08/02/20 10:00:00,11.041,2066.7,,,,,
190,08/02/20 10:30:00,11.139,1894.5,,,,,
191,08/02/20 11:00:00,11.139,1463.9,,,,,
192,08/02/20 11:30:00,11.236,1302.4,,,,,
193,08/02/20 12:00:00,11.236,1334.7,,,,,
194,08/02/20 12:30:00,11.431,979.5,,,,,
195,08/02/20 13:00:00,11.528,1259.4,,,,,
196,08/02/20 13:30:00,11.528,1216.3,,,,,
197,08/02/20 14:00:00,11.528,1894.5,,,,,
198,08/02/20 14:30:00,11.431,1808.3,,,,,
199,08/02/20 15:00:00,11.334,2583.4,,,,,
200,08/02/20 15:30:00,11.334,1894.5,,,,,
201,08/02/20 16:00:00,11.236,3100.0,,,,,
202,08/02/20 16:30:00,11.139,2755.6,,,,,
203,08/02/20 17:00:00,11.139,1894.5,,,,,
204,08/02/20 17:30:00,11.041,1377.8,,,,,
205,08/02/20 18:00:00,10.944,1377.8,,,,,
206,08/02/20 18:30:00,10.846,968.8,,,,,
207,08/02/20 19:00:00,10.553,602.8,,,,,
208,08/02/20 19:30:00,10.357,473.6,,,,,
209,08/02/20 20:00:00,10.259,215.3,,,,,
210,08/02/20 20:30:00,10.553,129.2,,,,,
211,08/02/20 21:00:00,10.063,96.9,,,,,
212,08/02/20 21:30:00,10.161,21.5,,,,,
213,08/02/20 22:00:00,10.357,0.0,,,,,
214,08/02/20 22:30:00,10.455,0.0,,,,,
215,08/02/20 23:00:00,10.455,0.0,,,,,
216,08/02/20 23:30:00,10.455,0.0,,,,,
217,08/03/20 00:00:00,10.357,0.0,,,,,
218,08/03/20 00:30:00,10.455,0.0,,,,,
219,08/03/20 01:00:00,10.455,0.0,,,,,
220,08/03/20 01:30:00,10.455,0.0,,,,,
221,08/03/20 02:00:00,10.455,0.0,,,,,
222,08/03/20 02:30:00,10.553,0.0,,,,,
223,08/03/20 03:00:00,10.553,0.0,,,,,
224,08/03/20 03:30:00,10.651,0.0,,,,,
225,08/03/20 04:00:00,10.651,0.0,,,,,
226,08/03/20 04:30:00,10.748,0.0,,,,,
227,08/03/20 05:00:00,10.651,21.5,,,,,
228,08/03/20 05:30:00,10.651,129.2,,,,,
229,08/03/20 06:00:00,10.651,204.5,,,,,
230,08/03/20 06:30:00,10.651,398.3,,,,,
231,08/03/20 07:00:00,10.553,645.8,,,,,
232,08/03/20 07:30:00,10.553,1054.9,,,,,
233,08/03/20 08:00:00,10.651,1377.8,,,,,
234,08/03/20 08:30:00,10.651,1463.9,,,,,
235,08/03/20 09:00:00,10.553,1980.6,,,,,
236,08/03/20 09:30:00,10.651,3100.0,,,,,
237,08/03/20 10:00:00,10.651,3616.7,,,,,
238,08/03/20 10:30:00,10.748,5511.1,,,,,
239,08/03/20 11:00:00,10.748,6544.5,,,,,
240,08/03/20 11:30:00,10.748,4822.3,,,,,
241,08/03/20 12:00:00,10.651,4477.8,,,,,
242,08/03/20 12:30:00,10.748,1550.0,,,,,
243,08/03/20 13:00:00,10.944,1980.6,,,,,
244,08/03/20 13:30:00,11.041,1722.2,,,,,
245,08/03/20 14:00:00,11.041,2238.9,,,,,
246,08/03/20 14:30:00,11.041,1980.6,,,,,
247,08/03/20 15:00:00,11.625,1550.0,,,,,
248,08/03/20 15:30:00,11.528,667.4,,,,,
249,08/03/20 16:00:00,11.722,818.1,,,,,
250,08/03/20 16:30:00,11.916,43.1,,,,,
251,08/03/20 17:00:00,11.819,43.1,,,,,
252,08/03/20 17:30:00,11.819,43.1,,,,,
253,08/03/20 18:00:00,11.625,53.8,,,,,
254,08/03/20 18:30:00,11.625,64.6,,,,,
255,08/03/20 19:00:00,11.334,322.9,,,,,
256,08/03/20 19:30:00,11.236,688.9,,,,,
257,08/03/20 20:00:00,10.944,452.1,,,,,
258,08/03/20 20:30:00,10.748,430.6,,,,,
259,08/03/20 21:00:00,10.553,387.5,,,,,
260,08/03/20 21:30:00,10.846,129.2,,,,,
261,08/03/20 22:00:00,10.846,21.5,,,,,
262,08/03/20 22:30:00,10.748,0.0,,,,,
263,08/03/20 23:00:00,10.651,0.0,,,,,
264,08/03/20 23:30:00,10.455,0.0,,,,,
265,08/04/20 00:00:00,10.455,0.0,,,,,
266,08/04/20 00:30:00,10.259,0.0,,,,,
267,08/04/20 01:00:00,10.259,0.0,,,,,
268,08/04/20 01:30:00,10.259,0.0,,,,,
269,08/04/20 02:00:00,10.161,0.0,,,,,
270,08/04/20 02:30:00,10.161,0.0,,,,,
271,08/04/20 03:00:00,10.063,0.0,,,,,
272,08/04/20 03:30:00,10.161,0.0,,,,,
273,08/04/20 04:00:00,10.161,0.0,,,,,
274,08/04/20 04:30:00,10.161,32.3,,,,,
275,08/04/20 05:00:00,10.259,139.9,,,,,
276,08/04/20 05:30:00,10.161,473.6,,,,,
277,08/04/20 06:00:00,10.161,592.0,,,,,
278,08/04/20 06:30:00,10.161,1259.4,,,,,
279,08/04/20 07:00:00,10.161,1722.2,,,,,
280,08/04/20 07:30:00,10.161,2325.0,,,,,
281,08/04/20 08:00:00,10.161,2927.8,,,,,
282,08/04/20 08:30:00,10.161,4133.4,,,,,
283,08/04/20 09:00:00,10.259,3788.9,,,,,
284,08/04/20 09:30:00,10.259,5338.9,,,,,
285,08/04/20 10:00:00,10.259,5511.1,,,,,
286,08/04/20 10:30:00,10.259,5166.7,,,,,
287,08/04/20 11:00:00,10.161,4650.0,,,,,
288,08/04/20 11:30:00,10.259,8266.7,,,,,
289,08/04/20 12:00:00,10.161,5166.7,,,,,
290,08/04/20 12:30:00,10.259,6200.0,,,,,
291,08/04/20 13:00:00,10.553,6200.0,,,,,
292,08/04/20 13:30:00,10.553,5166.7,,,,,
293,08/04/20 14:00:00,10.553,6544.5,,,,,
294,08/04/20 14:30:00,10.651,12400.1,,,,,
295,08/04/20 15:00:00,10.651,11711.2,,,,,
296,08/04/20 15:30:00,10.748,6200.0,,,,,
297,08/04/20 16:00:00,10.846,7233.4,,,,,
298,08/04/20 16:30:00,10.846,6544.5,,,,,
299,08/04/20 17:00:00,10.846,5166.7,,,,,
300,08/04/20 17:30:00,10.846,4305.6,,,,,
301,08/04/20 18:00:00,10.944,3100.0,,,,,
302,08/04/20 18:30:00,10.944,3616.7,,,,,
303,08/04/20 19:00:00,11.041,2927.8,,,,,
304,08/04/20 19:30:00,10.944,1980.6,,,,,
305,08/04/20 20:00:00,10.944,936.5,,,,,
306,08/04/20 20:30:00,10.944,559.7,,,,,
307,08/04/20 21:00:00,11.041,193.8,,,,,
308,08/04/20 21:30:00,11.041,150.7,,,,,
309,08/04/20 22:00:00,11.041,43.1,,,,,
310,08/04/20 22:30:00,11.139,0.0,,,,,
