Plot Title: SONDE_20July20,,,,,,,
#,"Date Time, ADJUSTED","Temp, °C (LGR S/N: 10349963, SEN S/N: 10349963)","Intensity, Lux (LGR S/N: 10349963, SEN S/N: 10349963)",Host Connected (LGR S/N: 10349963),Coupler Attached (LGR S/N: 10349963),Stopped (LGR S/N: 10349963),End Of File (LGR S/N: 10349963)
241,7/25/2020 14:00,9.571,23422.4,,,,
242,7/25/2020 14:30,9.275,23422.4,,,,
243,7/25/2020 15:00,9.275,27555.7,,,,
244,7/25/2020 15:30,9.373,31689.1,,,,
245,7/25/2020 16:00,8.779,17911.2,,,,
246,7/25/2020 16:30,8.382,9644.5,,,,
247,7/25/2020 17:00,8.581,9644.5,,,,
248,7/25/2020 17:30,8.581,6200,,,,
249,7/25/2020 18:00,8.68,10333.4,,,,
250,7/25/2020 18:30,8.978,21355.7,,,,
251,7/25/2020 19:00,8.779,16533.4,,,,
252,7/25/2020 19:30,8.382,7577.8,,,,
253,7/25/2020 20:00,8.182,6544.5,,,,
254,7/25/2020 20:30,7.983,4822.3,,,,
255,7/25/2020 21:00,7.682,1636.1,,,,
256,7/25/2020 21:30,7.682,1087.2,,,,
257,7/25/2020 22:00,7.782,731.9,,,,
258,7/25/2020 22:30,7.782,226,,,,
259,7/25/2020 23:00,7.882,32.3,,,,
260,7/25/2020 23:30,7.481,0,,,,
261,7/26/2020 0:00,7.582,0,,,,
262,7/26/2020 0:30,7.381,0,,,,
263,7/26/2020 1:00,7.179,0,,,,
264,7/26/2020 1:30,7.079,0,,,,
265,7/26/2020 2:00,6.978,0,,,,
266,7/26/2020 2:30,6.978,0,,,,
267,7/26/2020 3:00,6.978,10.8,,,,
268,7/26/2020 3:30,7.079,75.3,,,,
269,7/26/2020 4:00,7.079,279.9,,,,
270,7/26/2020 4:30,6.877,796.5,,,,
271,7/26/2020 5:00,6.877,1194.8,,,,
272,7/26/2020 5:30,6.775,1550,,,,
273,7/26/2020 6:00,6.877,3100,,,,
274,7/26/2020 6:30,6.978,4650,,,,
275,7/26/2020 7:00,7.079,5511.1,,,,
276,7/26/2020 7:30,7.179,5511.1,,,,
277,7/26/2020 8:00,7.381,11022.3,,,,
278,7/26/2020 8:30,7.381,13089,,,,
279,7/26/2020 9:00,7.782,15844.5,,,,
280,7/26/2020 9:30,7.782,18600.1,,,,
281,7/26/2020 10:00,7.582,15844.5,,,,
282,7/26/2020 10:30,7.782,20666.8,,,,
283,7/26/2020 11:00,8.282,22044.6,,,,
284,7/26/2020 11:30,7.983,23422.4,,,,
285,7/26/2020 12:00,7.782,19289,,,,
286,7/26/2020 12:30,7.782,16533.4,,,,
287,7/26/2020 13:00,7.481,10333.4,,,,
288,7/26/2020 13:30,7.381,12400.1,,,,
289,7/26/2020 14:00,7.682,20666.8,,,,
290,7/26/2020 14:30,8.481,31689.1,,,,
291,7/26/2020 15:00,7.682,17222.3,,,,
292,7/26/2020 15:30,7.28,11022.3,,,,
293,7/26/2020 16:00,8.182,23422.4,,,,
294,7/26/2020 16:30,8.382,41333.6,,,,
295,7/26/2020 17:00,8.082,30311.3,,,,
296,7/26/2020 17:30,8.382,22044.6,,,,
297,7/26/2020 18:00,7.782,15155.7,,,,
298,7/26/2020 18:30,8.282,14466.8,,,,
299,7/26/2020 19:00,8.082,22044.6,,,,
300,7/26/2020 19:30,7.179,9300.1,,,,
301,7/26/2020 20:00,6.877,6200,,,,
302,7/26/2020 20:30,7.381,4994.5,,,,
303,7/26/2020 21:00,6.674,2497.2,,,,
