"Plot Title: MD_E5Pel_13Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Temp)","Intensity, Lux (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Light)","Coupler Attached (LGR S/N: 10517219)","Coupler Detached (LGR S/N: 10517219)","Host Connected (LGR S/N: 10517219)","Stopped (LGR S/N: 10517219)","End Of File (LGR S/N: 10517219)"
158,06/16/19 20:30:00,14.038,3100.0,,,,,
159,06/16/19 21:00:00,14.134,3961.1,,,,,
160,06/16/19 21:30:00,14.038,3616.7,,,,,
161,06/16/19 22:00:00,14.038,1980.6,,,,,
162,06/16/19 22:30:00,14.038,1280.9,,,,,
163,06/16/19 23:00:00,13.942,667.4,,,,,
164,06/16/19 23:30:00,13.942,409.0,,,,,
165,06/17/19 00:00:00,13.942,258.3,,,,,
166,06/17/19 00:30:00,13.942,161.5,,,,,
167,06/17/19 01:00:00,13.942,129.2,,,,,
168,06/17/19 01:30:00,13.942,150.7,,,,,
169,06/17/19 02:00:00,13.942,183.0,,,,,
170,06/17/19 02:30:00,13.942,301.4,,,,,
171,06/17/19 03:00:00,13.942,495.1,,,,,
172,06/17/19 03:30:00,13.942,925.7,,,,,
173,06/17/19 04:00:00,13.942,807.3,,,,,
174,06/17/19 04:30:00,13.846,861.1,,,,,
175,06/17/19 05:00:00,13.846,2411.1,,,,,
176,06/17/19 05:30:00,13.846,2411.1,,,,,
177,06/17/19 06:00:00,13.846,2325.0,,,,,
178,06/17/19 06:30:00,13.846,3100.0,,,,,
179,06/17/19 07:00:00,13.846,4650.0,,,,,
180,06/17/19 07:30:00,13.750,3961.1,,,,,
181,06/17/19 08:00:00,13.750,5511.1,,,,,
182,06/17/19 08:30:00,13.846,8266.7,,,,,
183,06/17/19 09:00:00,13.750,5511.1,,,,,
184,06/17/19 09:30:00,13.846,7233.4,,,,,
185,06/17/19 10:00:00,13.654,4305.6,,,,,
186,06/17/19 10:30:00,13.654,5338.9,,,,,
187,06/17/19 11:00:00,13.558,4650.0,,,,,
188,06/17/19 11:30:00,13.750,7577.8,,,,,
189,06/17/19 12:00:00,13.942,13777.9,,,,,
190,06/17/19 12:30:00,13.750,6200.0,,,,,
191,06/17/19 13:00:00,13.654,4477.8,,,,,
192,06/17/19 13:30:00,13.558,4133.4,,,,,
