Plot Title: Sonde 2015,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Temp)","Intensity, Lux (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Light Intensity)",Coupler Attached (LGR S/N: 10517217),Host Connected (LGR S/N: 10517217),Stopped (LGR S/N: 10517217),End Of File (LGR S/N: 10517217)
176,5/28/15 3:42,1.656,1216.3,,,,
177,5/28/15 4:12,1.872,2669.5,,,,
178,5/28/15 4:42,1.98,4133.4,,,,
179,5/28/15 5:12,1.98,6200,,,,
180,5/28/15 5:42,2.624,9300.1,,,,
181,5/28/15 6:12,2.73,9644.5,,,,
182,5/28/15 6:42,3.367,16533.4,,,,
183,5/28/15 7:12,4.519,20666.8,,,,
184,5/28/15 7:42,4.415,24800.2,,,,
185,5/28/15 8:12,4.623,26178,,,,
186,5/28/15 8:42,5.552,33066.9,,,,
187,5/28/15 9:12,5.757,33066.9,,,,
188,5/28/15 9:42,5.141,22044.6,,,,
189,5/28/15 10:12,5.45,24800.2,,,,
190,5/28/15 10:42,6.674,34444.7,,,,
191,5/28/15 11:12,6.471,35822.5,,,,
192,5/28/15 11:42,9.669,88178.4,,,,
193,5/28/15 12:12,10.455,88178.4,,,,
194,5/28/15 12:42,10.161,121245.2,,,,
195,5/28/15 13:12,10.259,242490.5,,,,
196,5/28/15 13:42,7.782,41333.6,,,,
197,5/28/15 14:12,7.481,42711.4,,,,
198,5/28/15 14:42,6.37,33066.9,,,,
199,5/28/15 15:12,6.064,33066.9,,,,
200,5/28/15 15:42,6.674,37200.2,,,,
201,5/28/15 16:12,6.166,27555.7,,,,
202,5/28/15 16:42,5.655,18600.1,,,,
203,5/28/15 17:12,7.882,60622.6,,,,
204,5/28/15 17:42,7.582,27555.7,,,,
205,5/28/15 18:12,6.471,28933.5,,,,
206,5/28/15 18:42,6.064,24800.2,,,,
207,5/28/15 19:12,4.934,11022.3,,,,
208,5/28/15 19:42,4.831,8611.2,,,,
209,5/28/15 20:12,4.311,7233.4,,,,
210,5/28/15 20:42,3.998,3616.7,,,,
