md,site,layer,depth,date_in,time_in,date_out,time_out,lat,lon,calibrating,flag,comments
md1,st33,pel,0.5,2019-06-10,18:05:00,2019-06-11,NA,"NA","NA",y,0,calibrating against sonde at st33
md2,st33,pel,0.5,2019-06-10,"NA",2019-06-11,"NA","NA","NA",y,0,calibrated against sonde
md6,st33,pel,0.5,2019-06-10,"NA",2019-06-11,"NA","NA","NA",y,0,calibrating against sonde at st33
md2,st33,ben,3.3,2019-06-15,11:53:00,2019-08-15,"NA",0407614,7276069,n,0,deployed at the bottom of st33
md5,e5,ben,NA,2019-06-15,12:30:00,2019-08-15,"NA",0409839,7276330,n,0,deployed at bottom of e5
md6,e5,pel,0.5,2019-06-15,12:40:00,2019-08-15,"NA",0409865,7276316,n,0,deployed at surface at e5
md1,reyk,pel,0.5,2019-06-15,13:37:00,2019-08-19,"NA",0411411,7281201,n,0,deployed at the surface of Reykjahlid
md3,st33,pel,0.5,2019-06-15,11:37:00,2019-06-16,"NA","NA","NA",y,0,calibrating against sonde at st33
md4,st33,pel,0.5,2019-06-15,"NA",2019-06-16,"NA","NA","NA",y,0,calibrating against sonde at st33
md3,reyk,ben,4.3,2019-06-16,13:32:00,2019-08-15,"NA",0411395,7281206,n,0,deployed at benthos of reykjahlid
md4,grim,ben,6.5,2019-06-16,14:29:00,2019-08-15,"NA",0409991,7282200,n,0,deployed at bottom of grimstadir pit
md1,buck,"NA","NA",2019-08-16,"NA",2019-08-17,"NA","NA","NA",y,0,calibrated in the white bucket
md2,buck,"NA","NA",2019-08-16,"NA",2019-08-17,"NA","NA","NA",y,0,calibrated in the white bucket
md3,buck,"NA","NA",2019-08-16,"NA",2019-08-17,"NA","NA","NA",y,0,calibrating in white bucket at lab
md4,buck,"NA","NA",2019-08-16,"NA",2019-08-17,"NA","NA","NA",y,0,calibrating in white bucket at lab
md5,buck,"NA","NA",2019-08-16,"NA",2019-08-17,"NA","NA","NA",y,0,calibrating in white bucket at lab
md6,buck,"NA","NA",2019-08-16,"NA",2019-08-17,"NA","NA","NA",y,0,calibrating in white bucket at lab
md7,buck,"NA","NA",2019-08-16,"NA",2019-08-17,"NA","NA","NA",y,0,calibrating in white bucket at lab
md8,buck,"NA","NA",2019-08-16,"NA",2019-08-17,"NA","NA","NA",y,1,calibrating in white bucket at lab; time is slightly off
md4,e1,ben,NA,2019-08-20,18:30:00,NA,NA,0405911,7274524,n,0,deployed under ice at e1
md5,e5,ben,NA,2019-08-20,20:08:00,NA,NA,0409775,7276396,n,1,coords likely off by ~20 m
md6,e6,ben,NA,2019-08-20,17:23:00,NA,NA,0408911,7274363,n,NA,NA
md7,st33,ben,3.3,2019-08-20,19:45:00,NA,NA,0407609,7276137,n,NA,NA
md8,e2,ben,NA,2019-08-20,19:00:00,NA,NA,0406269,7278009,n,1,check time
md3,reyk,ben,4.3,NA,NA,NA,NA,NA,NA,n,1,Árni deployed.
